"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de savons, de produits d'entretien et de parfums (NAF rév. 2, niveau groupe, poste 20.4)";"Codes"
"idBank";"010537450";""
"Dernière mise à jour";"05/04/2022 08:45";""
"Période";"";""
"2022-02";"115.53";"A"
"2022-01";"115.19";"A"
"2021-12";"115.14";"A"
"2021-11";"113.59";"A"
"2021-10";"115.74";"A"
"2021-09";"116.13";"A"
"2021-08";"114.09";"A"
"2021-07";"113.76";"A"
"2021-06";"112.0";"A"
"2021-05";"109.73";"A"
"2021-04";"102.12";"A"
"2021-03";"106.3";"A"
"2021-02";"106.69";"A"
"2021-01";"112.03";"A"
"2020-12";"106.55";"A"
"2020-11";"109.73";"A"
"2020-10";"113.35";"A"
"2020-09";"105.19";"A"
"2020-08";"101.55";"A"
"2020-07";"95.7";"A"
"2020-06";"98.2";"A"
"2020-05";"94.02";"A"
"2020-04";"63.05";"A"
"2020-03";"86.37";"A"
"2020-02";"114.56";"A"
"2020-01";"114.98";"A"
"2019-12";"118.89";"A"
"2019-11";"128.63";"A"
"2019-10";"123.7";"A"
"2019-09";"129.73";"A"
"2019-08";"116.84";"A"
"2019-07";"117.84";"A"
"2019-06";"116.14";"A"
"2019-05";"118.95";"A"
"2019-04";"118.92";"A"
"2019-03";"117.32";"A"
"2019-02";"122.08";"A"
"2019-01";"110.97";"A"
"2018-12";"115.27";"A"
"2018-11";"112.92";"A"
"2018-10";"116.16";"A"
"2018-09";"116.26";"A"
"2018-08";"121.84";"A"
"2018-07";"113.02";"A"
"2018-06";"113.06";"A"
"2018-05";"112.44";"A"
"2018-04";"116.33";"A"
"2018-03";"114.38";"A"
"2018-02";"115.1";"A"
"2018-01";"110.73";"A"
"2017-12";"118.23";"A"
"2017-11";"113.36";"A"
"2017-10";"112.1";"A"
"2017-09";"111.65";"A"
"2017-08";"110.65";"A"
"2017-07";"111.21";"A"
"2017-06";"111.13";"A"
"2017-05";"114.17";"A"
"2017-04";"106.26";"A"
"2017-03";"106.85";"A"
"2017-02";"102.96";"A"
"2017-01";"107.39";"A"
"2016-12";"101.19";"A"
"2016-11";"102.9";"A"
"2016-10";"100.26";"A"
"2016-09";"101.05";"A"
"2016-08";"102.68";"A"
"2016-07";"101.55";"A"
"2016-06";"101.28";"A"
"2016-05";"101.86";"A"
"2016-04";"99.6";"A"
"2016-03";"100.77";"A"
"2016-02";"101.15";"A"
"2016-01";"106.79";"A"
"2015-12";"97.92";"A"
"2015-11";"100.84";"A"
"2015-10";"98.95";"A"
"2015-09";"100.76";"A"
"2015-08";"100.76";"A"
"2015-07";"98.82";"A"
"2015-06";"100.13";"A"
"2015-05";"98.73";"A"
"2015-04";"103.44";"A"
"2015-03";"100.41";"A"
"2015-02";"99.31";"A"
"2015-01";"99.93";"A"
"2014-12";"102.54";"A"
"2014-11";"106.52";"A"
"2014-10";"106.13";"A"
"2014-09";"99.68";"A"
"2014-08";"95.21";"A"
"2014-07";"101.73";"A"
"2014-06";"101.23";"A"
"2014-05";"98.36";"A"
"2014-04";"98.95";"A"
"2014-03";"98.66";"A"
"2014-02";"99.23";"A"
"2014-01";"100.04";"A"
"2013-12";"96.46";"A"
"2013-11";"95.49";"A"
"2013-10";"95.78";"A"
"2013-09";"98.1";"A"
"2013-08";"90.47";"A"
"2013-07";"97.3";"A"
"2013-06";"101.04";"A"
"2013-05";"99.59";"A"
"2013-04";"97.98";"A"
"2013-03";"97.99";"A"
"2013-02";"96.89";"A"
"2013-01";"94.8";"A"
"2012-12";"99.21";"A"
"2012-11";"94.18";"A"
"2012-10";"93.47";"A"
"2012-09";"93.67";"A"
"2012-08";"92.69";"A"
"2012-07";"92.68";"A"
"2012-06";"90.42";"A"
"2012-05";"92.66";"A"
"2012-04";"94.91";"A"
"2012-03";"93.42";"A"
"2012-02";"95.15";"A"
"2012-01";"91.02";"A"
"2011-12";"95.36";"A"
"2011-11";"97.36";"A"
"2011-10";"94.7";"A"
"2011-09";"93.8";"A"
"2011-08";"92.49";"A"
"2011-07";"94.99";"A"
"2011-06";"88.93";"A"
"2011-05";"97.99";"A"
"2011-04";"93.6";"A"
"2011-03";"94.83";"A"
"2011-02";"91.69";"A"
"2011-01";"94.49";"A"
"2010-12";"86.65";"A"
"2010-11";"86.6";"A"
"2010-10";"85.01";"A"
"2010-09";"81.06";"A"
"2010-08";"83.54";"A"
"2010-07";"83.33";"A"
"2010-06";"83.74";"A"
"2010-05";"83.66";"A"
"2010-04";"81.84";"A"
"2010-03";"79.51";"A"
"2010-02";"80.92";"A"
"2010-01";"80.24";"A"
"2009-12";"81.39";"A"
"2009-11";"79.96";"A"
"2009-10";"77.09";"A"
"2009-09";"80.64";"A"
"2009-08";"74.86";"A"
"2009-07";"75.37";"A"
"2009-06";"72.23";"A"
"2009-05";"67.13";"A"
"2009-04";"67.6";"A"
"2009-03";"69.13";"A"
"2009-02";"69.33";"A"
"2009-01";"74.98";"A"
"2008-12";"80.07";"A"
"2008-11";"80.33";"A"
"2008-10";"84.01";"A"
"2008-09";"79.05";"A"
"2008-08";"82.07";"A"
"2008-07";"80.65";"A"
"2008-06";"79.36";"A"
"2008-05";"79.36";"A"
"2008-04";"81.13";"A"
"2008-03";"79.89";"A"
"2008-02";"79.52";"A"
"2008-01";"80.47";"A"
"2007-12";"77.36";"A"
"2007-11";"79.78";"A"
"2007-10";"82.24";"A"
"2007-09";"81.15";"A"
"2007-08";"80.79";"A"
"2007-07";"80.3";"A"
"2007-06";"82.04";"A"
"2007-05";"82.02";"A"
"2007-04";"78.56";"A"
"2007-03";"83.31";"A"
"2007-02";"79.35";"A"
"2007-01";"77.02";"A"
"2006-12";"78.29";"A"
"2006-11";"76.62";"A"
"2006-10";"75.39";"A"
"2006-09";"74.72";"A"
"2006-08";"70.27";"A"
"2006-07";"70.47";"A"
"2006-06";"69.91";"A"
"2006-05";"71.89";"A"
"2006-04";"71.58";"A"
"2006-03";"69.5";"A"
"2006-02";"68.21";"A"
"2006-01";"69.25";"A"
"2005-12";"71.45";"A"
"2005-11";"70.33";"A"
"2005-10";"69.53";"A"
"2005-09";"73.41";"A"
"2005-08";"70.93";"A"
"2005-07";"68.92";"A"
"2005-06";"67.42";"A"
"2005-05";"68.13";"A"
"2005-04";"68.41";"A"
"2005-03";"68.55";"A"
"2005-02";"69.43";"A"
"2005-01";"69.62";"A"
"2004-12";"65.23";"A"
"2004-11";"66.3";"A"
"2004-10";"66.14";"A"
"2004-09";"66.19";"A"
"2004-08";"66.05";"A"
"2004-07";"66.42";"A"
"2004-06";"67.95";"A"
"2004-05";"66.35";"A"
"2004-04";"66.99";"A"
"2004-03";"67.26";"A"
"2004-02";"67.1";"A"
"2004-01";"66.16";"A"
"2003-12";"69.29";"A"
"2003-11";"69.65";"A"
"2003-10";"70.05";"A"
"2003-09";"68.28";"A"
"2003-08";"71.8";"A"
"2003-07";"71.3";"A"
"2003-06";"70.47";"A"
"2003-05";"68.45";"A"
"2003-04";"70.33";"A"
"2003-03";"69.82";"A"
"2003-02";"70.66";"A"
"2003-01";"70.9";"A"
"2002-12";"70.93";"A"
"2002-11";"73.65";"A"
"2002-10";"70.11";"A"
"2002-09";"68.08";"A"
"2002-08";"63.94";"A"
"2002-07";"66.56";"A"
"2002-06";"65.27";"A"
"2002-05";"62.44";"A"
"2002-04";"72.09";"A"
"2002-03";"69.08";"A"
"2002-02";"69.47";"A"
"2002-01";"68.43";"A"
"2001-12";"66.23";"A"
"2001-11";"64.99";"A"
"2001-10";"67.56";"A"
"2001-09";"66.0";"A"
"2001-08";"70.54";"A"
"2001-07";"68.41";"A"
"2001-06";"69.85";"A"
"2001-05";"71.11";"A"
"2001-04";"67.49";"A"
"2001-03";"68.46";"A"
"2001-02";"68.16";"A"
"2001-01";"69.75";"A"
"2000-12";"71.82";"A"
"2000-11";"72.59";"A"
"2000-10";"73.59";"A"
"2000-09";"67.95";"A"
"2000-08";"62.93";"A"
"2000-07";"69.87";"A"
"2000-06";"63.38";"A"
"2000-05";"64.21";"A"
"2000-04";"63.2";"A"
"2000-03";"64.26";"A"
"2000-02";"65.02";"A"
"2000-01";"64.11";"A"
"1999-12";"65.33";"A"
"1999-11";"66.69";"A"
"1999-10";"65.55";"A"
"1999-09";"64.36";"A"
"1999-08";"64.75";"A"
"1999-07";"64.38";"A"
"1999-06";"62.74";"A"
"1999-05";"62.15";"A"
"1999-04";"61.7";"A"
"1999-03";"59.88";"A"
"1999-02";"61.5";"A"
"1999-01";"62.15";"A"
"1998-12";"62.89";"A"
"1998-11";"62.94";"A"
"1998-10";"62.68";"A"
"1998-09";"63.75";"A"
"1998-08";"64.77";"A"
"1998-07";"64.69";"A"
"1998-06";"66.1";"A"
"1998-05";"66.97";"A"
"1998-04";"66.12";"A"
"1998-03";"63.73";"A"
"1998-02";"65.25";"A"
"1998-01";"65.2";"A"
"1997-12";"65.75";"A"
"1997-11";"61.16";"A"
"1997-10";"63.32";"A"
"1997-09";"58.51";"A"
"1997-08";"64.39";"A"
"1997-07";"61.19";"A"
"1997-06";"63.79";"A"
"1997-05";"60.85";"A"
"1997-04";"60.59";"A"
"1997-03";"62.23";"A"
"1997-02";"59.38";"A"
"1997-01";"55.74";"A"
"1996-12";"57.13";"A"
"1996-11";"56.62";"A"
"1996-10";"56.12";"A"
"1996-09";"57.34";"A"
"1996-08";"56.12";"A"
"1996-07";"56.83";"A"
"1996-06";"58.23";"A"
"1996-05";"57.35";"A"
"1996-04";"56.92";"A"
"1996-03";"58.99";"A"
"1996-02";"58.02";"A"
"1996-01";"58.1";"A"
"1995-12";"55.92";"A"
"1995-11";"54.81";"A"
"1995-10";"56.8";"A"
"1995-09";"59.09";"A"
"1995-08";"57.06";"A"
"1995-07";"56.34";"A"
"1995-06";"55.53";"A"
"1995-05";"55.49";"A"
"1995-04";"56.15";"A"
"1995-03";"55.63";"A"
"1995-02";"54.55";"A"
"1995-01";"54.7";"A"
"1994-12";"55.61";"A"
"1994-11";"56.92";"A"
"1994-10";"56.68";"A"
"1994-09";"55.75";"A"
"1994-08";"55.05";"A"
"1994-07";"54.89";"A"
"1994-06";"55.15";"A"
"1994-05";"55.65";"A"
"1994-04";"56.71";"A"
"1994-03";"53.97";"A"
"1994-02";"54.58";"A"
"1994-01";"56.99";"A"
"1993-12";"55.21";"A"
"1993-11";"53.06";"A"
"1993-10";"52.75";"A"
"1993-09";"49.63";"A"
"1993-08";"50.53";"A"
"1993-07";"52.23";"A"
"1993-06";"50.49";"A"
"1993-05";"47.55";"A"
"1993-04";"51.63";"A"
"1993-03";"52.2";"A"
"1993-02";"55.31";"A"
"1993-01";"52.15";"A"
"1992-12";"50.08";"A"
"1992-11";"52.42";"A"
"1992-10";"51.72";"A"
"1992-09";"52.47";"A"
"1992-08";"53.59";"A"
"1992-07";"52.44";"A"
"1992-06";"52.67";"A"
"1992-05";"52.13";"A"
"1992-04";"52.02";"A"
"1992-03";"51.21";"A"
"1992-02";"50.75";"A"
"1992-01";"50.17";"A"
"1991-12";"51.06";"A"
"1991-11";"50.02";"A"
"1991-10";"50.99";"A"
"1991-09";"50.66";"A"
"1991-08";"48.0";"A"
"1991-07";"47.88";"A"
"1991-06";"48.33";"A"
"1991-05";"47.53";"A"
"1991-04";"47.61";"A"
"1991-03";"46.13";"A"
"1991-02";"47.41";"A"
"1991-01";"48.12";"A"
"1990-12";"44.87";"A"
"1990-11";"47.04";"A"
"1990-10";"47.91";"A"
"1990-09";"46.1";"A"
"1990-08";"45.25";"A"
"1990-07";"46.78";"A"
"1990-06";"46.23";"A"
"1990-05";"46.71";"A"
"1990-04";"46.35";"A"
"1990-03";"48.97";"A"
"1990-02";"47.1";"A"
"1990-01";"46.15";"A"
